"time"; "type"; "msg per second"; "mean"; "median"; "90% percentile"; "99% percentile"; "max";
22:00:26; 101; 99; 249.3030303030303; 244; 295; 348; 348;
22:00:26; 103; 137; 227.97080291970804; 213; 280; 366; 368;
22:00:26; 109; 16; 253.0; 250; 276; 329; 329;
22:00:27; 110; 1; 220.0; 220; 220; 220; 220;
22:00:27; 111; 22; 229.72727272727272; 222; 266; 313; 313;
22:00:27; 101; 98; 255.0612244897959; 248; 295; 504; 504;
22:00:27; 103; 102; 222.81372549019608; 213; 272; 351; 528;
22:00:27; 129; 1; 243.0; 243; 243; 243; 243;
22:00:27; 109; 24; 261.4166666666667; 252; 296; 363; 363;
22:00:28; 111; 5; 228.2; 218; 278; 278; 278;
22:00:28; 101; 78; 248.4102564102564; 245; 284; 329; 329;
22:00:28; 103; 78; 222.8846153846154; 210; 280; 500; 500;
22:00:28; 109; 5; 249.0; 245; 266; 266; 266;
22:00:29; 111; 4; 235.25; 250; 259; 259; 259;
22:00:29; 101; 64; 258.9375; 245; 289; 713; 713;
22:00:29; 103; 83; 224.13253012048193; 210; 279; 458; 458;
22:00:29; 129; 2; 279.5; 319; 319; 319; 319;
22:00:29; 109; 5; 243.2; 241; 266; 266; 266;
22:00:30; 111; 87; 244.7471264367816; 231; 306; 456; 456;
22:00:30; 101; 101; 248.22772277227722; 244; 274; 333; 380;
22:00:30; 103; 121; 225.4297520661157; 212; 284; 341; 414;
22:00:30; 129; 3; 291.3333333333333; 282; 315; 315; 315;
22:00:30; 109; 75; 282.1333333333333; 258; 339; 703; 703;
22:00:31; 111; 6; 247.16666666666666; 247; 328; 328; 328;
22:00:31; 101; 81; 254.33333333333334; 246; 303; 377; 377;
22:00:31; 103; 66; 232.22727272727272; 215; 278; 577; 577;
22:00:31; 109; 7; 278.85714285714283; 290; 329; 329; 329;
22:00:32; 111; 3; 258.6666666666667; 266; 285; 285; 285;
22:00:32; 101; 57; 245.47368421052633; 245; 264; 302; 302;
22:00:32; 103; 52; 216.46153846153845; 210; 265; 281; 281;
22:00:32; 109; 5; 241.2; 240; 249; 249; 249;
22:00:33; 111; 1; 213.0; 213; 213; 213; 213;
22:00:33; 101; 52; 248.75; 245; 265; 381; 381;
22:00:33; 103; 45; 214.75555555555556; 212; 238; 323; 323;
22:00:33; 109; 2; 242.0; 244; 244; 244; 244;
22:00:34; 101; 47; 246.46808510638297; 245; 268; 301; 301;
22:00:34; 103; 53; 225.32075471698113; 213; 281; 405; 405;
22:00:34; 129; 1; 251.0; 251; 251; 251; 251;
22:00:35; 111; 1; 212.0; 212; 212; 212; 212;
22:00:35; 101; 54; 254.27777777777777; 247; 292; 383; 383;
22:00:35; 103; 57; 222.57894736842104; 211; 280; 512; 512;
22:00:35; 109; 1; 245.0; 245; 245; 245; 245;
22:00:36; 111; 3; 214.33333333333334; 214; 231; 231; 231;
22:00:36; 101; 75; 248.05333333333334; 246; 283; 362; 362;
22:00:36; 103; 74; 221.43243243243242; 213; 267; 352; 352;
22:00:36; 109; 3; 246.66666666666666; 245; 252; 252; 252;
22:00:37; 111; 7; 244.42857142857142; 228; 305; 305; 305;
22:00:37; 101; 51; 251.47058823529412; 247; 286; 332; 332;
22:00:37; 103; 56; 228.76785714285714; 213; 285; 513; 513;
22:00:37; 129; 1; 261.0; 261; 261; 261; 261;
22:00:37; 109; 6; 256.1666666666667; 247; 291; 291; 291;
22:00:38; 101; 42; 244.85714285714286; 246; 261; 325; 325;
22:00:38; 103; 38; 211.73684210526315; 211; 261; 281; 281;
22:00:39; 111; 1; 221.0; 221; 221; 221; 221;
22:00:39; 101; 56; 248.92857142857142; 243; 287; 310; 310;
22:00:39; 103; 56; 215.57142857142858; 212; 244; 295; 295;
22:00:39; 129; 1; 269.0; 269; 269; 269; 269;
22:00:39; 109; 1; 246.0; 246; 246; 246; 246;
22:00:40; 101; 81; 252.14814814814815; 248; 294; 352; 352;
22:00:40; 103; 82; 221.59756097560975; 213; 270; 359; 359;
22:00:40; 129; 2; 295.0; 297; 297; 297; 297;
22:00:41; 101; 60; 245.66666666666666; 243; 266; 315; 315;
22:00:41; 103; 54; 220.57407407407408; 211; 254; 474; 474;
22:00:41; 109; 1; 242.0; 242; 242; 242; 242;
22:00:42; 101; 64; 246.25; 244; 282; 354; 354;
22:00:42; 103; 64; 219.421875; 211; 254; 362; 362;
22:00:42; 109; 1; 247.0; 247; 247; 247; 247;
22:00:43; 111; 2; 223.0; 226; 226; 226; 226;
22:00:43; 101; 61; 243.19672131147541; 240; 261; 359; 359;
22:00:43; 103; 58; 215.41379310344828; 212; 253; 297; 297;
22:00:43; 109; 3; 270.3333333333333; 250; 317; 317; 317;
22:00:44; 111; 5; 260.2; 233; 330; 330; 330;
22:00:44; 101; 46; 244.5; 240; 273; 379; 379;
22:00:44; 103; 44; 219.4090909090909; 212; 264; 414; 414;
22:00:44; 109; 4; 247.75; 257; 259; 259; 259;
22:00:45; 111; 15; 221.4; 213; 254; 264; 264;
22:00:45; 101; 49; 252.6122448979592; 245; 295; 377; 377;
22:00:45; 103; 45; 219.84444444444443; 211; 267; 369; 369;
22:00:45; 109; 15; 269.2; 264; 305; 343; 343;
22:00:46; 111; 6; 230.5; 231; 285; 285; 285;
22:00:46; 101; 43; 252.65116279069767; 241; 275; 576; 576;
22:00:46; 103; 43; 221.93023255813952; 212; 249; 449; 449;
22:00:46; 109; 6; 247.66666666666666; 248; 255; 255; 255;
22:00:47; 101; 41; 241.1951219512195; 241; 263; 299; 299;
